达人ID,达人昵称,蒲公英链接,达人类型,人设标签,IP城市,报价,预算状态,预计发布时间,粉丝数,近30天流量稳定性,限流风险判断,合作笔记自然CPC,合作笔记自然CPE,搜索+推荐占比,35岁以上粉丝占比,孩子年龄,孩子年级,孩子性别,家庭/教育话题点,30天外溢进店成本,90天外溢进店成本,评分总分,评分等级,推荐等级,硬性条件通过,达人池分组,当前状态,合作方向,备注
pgy:朝阳小北妈妈:57000.0:4900.0:北京,朝阳小北妈妈,,,6-12岁/妈妈/教育/vlog/教育/教育,北京,4900,,,57000,,,,,,,,,,,,,86,B+,推荐,否,待建联达人,待补数据,适合北京家庭教育焦虑、升学陪伴、晚间答疑提效等场景化内容,【大模型分析】北京IP高度契合，教育vlog家庭叙事适合项目，中产家长视角有潜力；但互动中位偏一般，孩子年级、35+粉占比、CPE/CPC、搜索推荐、限流风险和蒲公英链接待补，链接缺失暂未过硬筛。
pgy:Levi爸爸说育儿:20000.0:2000.0:福建 福州 马尾区,Levi爸爸说育儿,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/64029398000000001001ec3d?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,爸爸/萌娃/教育/母婴/教育/教育,福建 福州 马尾区,2000,,,20000,,,,,,,,,,母婴、萌娃、家居家装,,,83,B+,备选,是,待建联达人,待审核,可走爸爸视角家庭学习管理/亲子作业冲突解决内容，适合做讨论型曝光或低成本测试位。,【大模型分析】爸爸育儿人设有差异化，报价低但阅读体量高，潜在CPE表现优；不过粉丝年龄显示25-34为主，35+硬性比例需重点补采，孩子阶段也未见初高中明确信号，存在受众错配风险。
pgy:硕士奶爸挖宝记:28000.0:3800.0:福建 福州 马尾区,硕士奶爸挖宝记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/6588fd8d000000001c0284f7?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,爸爸/萌娃/教育/母婴/开箱/教育/教育,福建 福州 马尾区,3800,,,28000,,,,,,,,,,母婴、萌娃、家居家装,,,83,B+,不推荐,否,待建联达人,待审核,可做高知爸爸视角的学习工具种草，但仅适合作为观察样本，不建议进入本项目正式合作池。,【大模型分析】硕士奶爸、高知家庭与教育场景匹配，报价低且流量表现强；但粉丝年龄25-34占84.1%，已明显不符35岁以上占比＞40%的硬门槛。待补CPC/CPE、搜索推荐占比、孩子年级。
pgy:清华丸子雨学姐:45000.0:3500.0:北京,清华丸子雨学姐,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f2a1c4d0000000001000279?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,创业者/学生/教育/vlog/教育/教育,北京,3500,,,45000,,,,,,,,,,生活记录、二次元、娱乐,,,82,B+,备选,是,待建联达人,待审核,可做高知学习方法/家长视角教育工具种草，作为曝光型补位，主打北京高知氛围与学习效率场景。,【大模型分析】北京IP、清华学姐高知人设契合，报价低且流量互动不错；但粉丝35+占比、CPC/CPE、搜索推荐占比、孩子阶段均待补，当前受众兴趣偏生活娱乐，需核验是否偏离教育家长人群。
pgy:Peter妈妈:17000.0:2200.0:湖南 株洲 天元区,Peter妈妈,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5676d41db8ce1a042f292b51?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/3+/教育/教育,湖南 株洲 天元区,2200,,,17000,,,,,,,,,,母婴、教育、美食,,,79,B,备选,是,待建联达人,待审核,适合普通有娃家庭学习场景，主打家长陪学、作业答疑、家庭教育工具实用种草。,【大模型分析】妈妈+教育母婴场景匹配，报价低、互动和增长表现尚可；但孩子年级未明确，35岁+粉丝占比、CPC/CPE、搜索推荐占比均待补，且非北上IP。
pgy:嘟嘟仔:13000.0:4200.0:浙江 台州 温岭市,嘟嘟仔,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/55faaeb341a2b34bcee5d724?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/开箱/教育/教育,浙江 台州 温岭市,4200,,,13000,,,,,,,,,,母婴、萌娃、家居家装,,,78,B,备选,是,待建联达人,待审核,可走家长陪学、作业辅导、学习习惯培养方向，作为教育/亲子腰尾部补位达人。,【大模型分析】6-12岁妈妈且带教育标签，内容场景与学习工具较匹配，报价可控；但粉丝35+、CPC/CPE、搜索推荐占比均缺失，孩子是否小升初/初高中待补，地域非京沪。
pgy:S-L-Y酸辣鱼:12000.0:1600.0:辽宁 沈阳 沈河区,S-L-Y酸辣鱼,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f0500660000000001002622?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/教程/教育/教育,辽宁 沈阳 沈河区,1600,,,12000,,,,,,,,,,母婴、萌娃、家居家装,,,76,B,备选,是,待建联达人,待审核,适合家长辅导痛点、作业检查、家庭学习管理等实用型种草，偏性价比补位。,【大模型分析】6-12岁妈妈+教育母婴教程，内容场景可承接答疑笔，报价极优；但孩子是否小升初/初高中未明，35岁+粉丝占比、CPE/CPC、搜索推荐占比待补，非北上IP。
pgy:京妈说:13000.0:2500.0:天津,京妈说,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/556cd2ede58d131daeb485e9?track_id=kolMatch_974f336064d54e6dba74a1521927df82&fromRoute=Advertiser_Kol&source=Advertiser_Kol,,6-12岁/妈妈/教育/母婴/测评/教育/教育,天津,2500,,,13000,,,,,,,,,,母婴、家居家装、萌娃,,,76,B,不推荐,否,待建联达人,待审核,若后续粉丝年龄核验达标，可尝试妈妈视角的学习辅导场景测评；当前不建议优先推进。,【大模型分析】教育母婴妈妈人设、报价低、互动率高，具一定种草效率；但粉丝年龄仅知25-34占49.7%，无法支持35岁以上占比＞40%，按硬筛倾向不通过。待补孩子阶段、CPC/CPE、搜索推荐占比。
pgy:Julia生活育儿:23000.0:2900.0:陕西 西安 碑林区,Julia生活育儿,,,6-12岁/妈妈/教育/母婴/2+/教育/教育,陕西 西安 碑林区,2900,,,23000,,,,,,,,,,,,,75,B,备选,否,待建联达人,待补数据,适合家长陪学、作业订正、知识点答疑工具测评与日常学习vlog,【大模型分析】阅读互动中位数尚可，教育母婴内容具备植入空间，报价低；但城市非优先，孩子阶段仅6-12岁偏泛，35+粉占比、自然流量效率、搜索推荐、限流风险及蒲公英链接待补，需补证后判断。
pgy:爱学习的可乐🥤:8400.0:1850.0:安徽 合肥 包河区,爱学习的可乐🥤,,,6-12岁/萌娃/教育/测评/vlog/教育/教育,安徽 合肥 包河区,1850,,,8400,,,,,,,,,,,,,72,B,备选,否,待建联达人,待补数据,适合做学习工具测评、作业辅导场景种草，偏性价比补位账号,【大模型分析】报价低、教育测评vlog可植入，但孩子仅见6-12岁，偏小学段；35+粉占比、CPC/CPE、搜索推荐占比、限流风险与蒲公英链接均待补，且链接缺失触发硬性项。
