表名,字段名,建议字段类型,说明
项目brief,项目名称,文本,测试项目主名称
项目brief,达人发布时间,日期范围,发布窗口为2026-05-07至2026-05-19
项目brief,总达人预算上限,数字,单位元
项目brief,单个达人预算上限,数字,单位元
筛选标准,模块,单选,预算/发布时间/达人结构/风险规避/人设匹配/合作数据/流量来源/粉丝画像/转化外溢等
筛选标准,筛选项,文本,具体判断维度
筛选标准,标准/阈值,文本,阈值或规则描述
筛选标准,判定方式,单选,硬性/硬性偏好/结构约束/加分/资料完整性
筛选标准,优先级,单选,最高/高/中/低
筛选标准,不满足处理,单选,淘汰/降级/待补充/调整组合
达人池实体表,达人ID,文本,候选达人唯一ID
达人池实体表,达人昵称,文本,达人名称
达人池实体表,蒲公英链接,链接,只填蒲公英链接，不填小红书主页链接
达人池实体表,达人类型,单选,曝光型/教育垂类/卖货型/教育垂类或卖货型
达人池实体表,人设标签,多选,高知家庭/教师人设/教育政策解读/亲子大孩/中产家庭等
达人池实体表,IP城市,单选,北京/上海/其他
达人池实体表,报价,货币,单位元，需小于20000
达人池实体表,预算状态,单选,通过/超预算/待核
达人池实体表,预计发布时间,日期,需落在2026-05-07至2026-05-19
达人池实体表,粉丝数,数字,达人粉丝量
达人池实体表,近30天流量稳定性,单选,稳定/波动/异常/待核
达人池实体表,限流风险判断,单选,低/中/高/待核
达人池实体表,合作笔记自然CPC,数字,低于2优先
达人池实体表,合作笔记自然CPE,数字,低于20，低于10优先
达人池实体表,搜索+推荐占比,百分比,大于40%优先
达人池实体表,35岁以上粉丝占比,百分比,必须大于40%，否则淘汰
达人池实体表,孩子年龄,数字,小升初/初高中对应年龄
达人池实体表,孩子年级,单选,小升初/初一/初二/初三/高一/高二/高三
达人池实体表,孩子性别,单选,男/女/未披露
达人池实体表,家庭/教育话题点,文本,用于记录人设讨论点
达人池实体表,30天外溢进店成本,数字,低于50优先
达人池实体表,90天外溢进店成本,数字,低于50优先
达人池实体表,推荐等级,单选,S/A/B/C/淘汰/待评估
达人池实体表,当前状态,单选,待补数据/初筛通过/复筛通过/已沟通/已锁定/淘汰/备选
达人池实体表,备注,文本,补充说明
