模块,筛选项,标准/阈值,判定方式,优先级,不满足处理,备注
预算,单个达人报价,小于20000,硬性,高,淘汰,含坑位费/服务费口径需统一
预算,总达人预算,10位合计不超过120000,硬性,高,调整达人组合,超预算时优先保留高匹配教育垂类
发布时间,可发布档期,2026-05-07 至 2026-05-19,硬性,高,淘汰或改备选,需确认排期锁定能力
达人结构,曝光型达人数量,目标5位,结构约束,中,调整配比,占总人数50%
达人结构,教育垂类或卖货型达人数量,目标5位,结构约束,中,调整配比,占总人数50%
风险规避,限流风险,无明显限流/异常低互动/近期违规迹象,硬性,高,淘汰,看近30-90天内容表现
人设匹配,高知家庭,博士/硕士父母/知识分子家庭/中产家庭教育叙事,加分,中,降级,优先纳入核心池
人设匹配,教师/教育达人,教师身份或长期解读教育政策和升学风向,加分,中,降级,适合教育垂类池
人设匹配,亲子大孩家庭,孩子处于小升初/初中/高中阶段,硬性偏好,高,降级或淘汰,低龄母婴不优先
话题度,家庭叙事可讨论性,胡同蜗居/学区房/住校生/国际学校/上海中产日常等,加分,中,降级,要求真实自然，避免强剧本感
地域,IP城市,北京或上海优先,加分,中,降级,其他城市需数据特别优秀
合作数据,自然流量CPC,低于2,硬性偏好,高,降级,越低越好
合作数据,自然流量CPE,低于20，最好低于10,硬性偏好,高,降级,低于10优先
流量来源,搜索+推荐占比,大于40%,硬性偏好,高,降级,说明内容有自然分发和搜索承接
粉丝画像,35岁以上粉丝占比,大于40%,硬性,最高,淘汰,该项不符合直接淘汰
孩子信息,孩子年龄/年级/性别,必须标注,资料完整性,高,待补充,筛选表必填
转化外溢,30天进店成本,低于50,加分,中,降级,越低越好
转化外溢,90天进店成本,低于50,加分,中,降级,越低越好
链接字段,蒲公英链接,必须填写,硬性,高,待补充,不需要小红书主页链接
