达人ID,达人昵称,蒲公英链接,达人类型,人设标签,IP城市,报价,预算状态,预计发布时间,粉丝数,近30天流量稳定性,限流风险判断,合作笔记自然CPC,合作笔记自然CPE,搜索+推荐占比,35岁以上粉丝占比,孩子年龄,孩子年级,孩子性别,家庭/教育话题点,30天外溢进店成本,90天外溢进店成本,评分总分,评分等级,推荐等级,硬性条件通过,达人池分组,当前状态,合作方向,备注
pytest_sample_pool-KOL-004,住校生妈妈手记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-004,曝光型,亲子大孩/普通有娃家庭,上海,9800,通过,2026-05-13,76000,波动,低,2.1,16.5,44%,49%,16,高一,男,住校生学习自主管理、周末复盘和答疑需求,48,43,79,B,备选,否,合格达人待合作,备选,可做住校生周末答疑、错题订正、自主学习管理内容，承担真实家庭场景曝光型种草角色。,【大模型分析】上海IP、住校生高一家长场景稀缺，35+粉占比达标且外溢成本优秀；但CPC 2.1略超线，流量有波动，适合作备选。
pytest_sample_pool-KOL-006,初中数学周老师,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-006,教育垂类/卖货型,教师人设/初高中学习陪伴,北京,13600,通过,2026-05-09,164000,稳定,低,1.42,8.6,61%,64%,13,初一,未披露,数学学习方法、错题本和课后答疑工具推荐,29,25,91,A,强推荐,是,待建联达人,初筛通过,主打初中数学答疑、错题订正与课后辅导场景，做功能演示+真实学习陪伴，承担教育转化位。,【大模型分析】教师人设+初中阶段高度匹配，北京IP，35+粉丝占比高，CPC/CPE优秀且流量稳定，转化基础强，风险低。
pytest_sample_pool-KOL-008,陪娃刷题的陈博士,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-008,教育垂类/卖货型,高知家庭/高知教育达人,上海,16500,通过,2026-05-14,119000,稳定,低,1.56,9.2,59%,60%,17,高二,男,理工科家长陪读、理科答疑和学习效率工具,33,28,91,A,强推荐,是,待建联达人,初筛通过,聚焦高中理科学习、难题答疑和自学效率提升，适合深度测评型种草，承担高知家庭背书位。,【大模型分析】博士高知家庭人设突出，上海IP、高中大孩场景稀缺，理科答疑与效率工具契合度高，成本表现优且稳定。
pytest_sample_pool-KOL-003,胡同里养娃的林老师,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-003,曝光型,教师人设/普通有娃家庭,北京,12600,通过,2026-05-11,98000,稳定,低,1.65,9.8,57%,62%,15,初三,女,教师妈妈视角、胡同家庭备考冲刺和学习工具选择,34,31,90,A,强推荐,是,待建联达人,初筛通过,从中考冲刺、家庭备考日常和学习工具选择展开，适合做话题型种草内容，承担曝光型核心席位。,【大模型分析】教师妈妈+北京胡同家庭叙事，贴近Brief点名偏好，初三备考场景真实有讨论度，效率稳定，兼顾曝光与转化。
pytest_sample_pool-KOL-001,北京海淀安安妈,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-001,曝光型,高知家庭/亲子大孩,北京,16800,通过,2026-05-08,186000,稳定,低,1.78,12.6,52%,58%,12,小升初,女,海淀小升初规划、学区房家庭学习效率场景,42,36,88,A,强推荐,是,待建联达人,初筛通过,作为曝光核心位，做海淀家庭学习效率与小升初答疑场景，突出家庭真实使用体验与讨论度。,【大模型分析】北京海淀高知家庭、小升初场景高度贴合，粉丝年龄与流量结构优，内容真实且稳定。
pytest_sample_pool-KOL-007,升学政策研究员Grace,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-007,教育垂类/卖货型,教育政策解读/高知教育达人,北京,17800,通过,2026-05-12,205000,稳定,低,1.7,11.4,55%,67%,12,小升初,未披露,升学政策、学习规划和家长决策链路,38,32,88,A,强推荐,是,待建联达人,初筛通过,围绕小升初家长决策、升学信息焦虑与提效工具切入，适合做搜索承接和高信任背书型内容。,【大模型分析】政策解读型高知教育达人，家长决策影响力强，北京IP且35+受众高，占据搜索需求，但报价偏高、效率略弱于头部优选。
pytest_sample_pool-KOL-002,上海中产陪读日记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-002,曝光型,中产家庭/亲子大孩,上海,15200,通过,2026-05-10,142000,稳定,低,1.92,14.8,48%,55%,14,初二,男,上海中产教育日常、晚自习陪伴和错题整理,45,39,84,B,推荐,是,待建联达人,初筛通过,适合做上海中产家庭陪读日常、错题整理与晚自习使用体验，承担曝光种草与场景教育。,【大模型分析】上海中产家庭叙事和初二场景匹配，粉丝画像达标且流量稳定；CPE偏中位，转化效率非最优。
pytest_sample_pool-KOL-009,教辅工具测评小乔,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-009,教育垂类/卖货型,亲子教育卖货型/学习用品,其他,8200,通过,2026-05-16,68000,稳定,低,1.35,7.9,63%,46%,14,初二,女,学习用品横评、教辅工具对比和真实转化复盘,26,22,83,B,推荐,是,待建联达人,初筛通过,主打教辅工具测评与答疑笔对比种草，承担卖货转化位，突出真实提分辅助和作业场景。,【大模型分析】报价低且CPC/CPE优秀，搜索推荐占比高，初二家庭适配答疑笔；非京沪、曝光势能略弱。
pytest_sample_pool-KOL-010,高中陪跑老爸,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-010,教育垂类/卖货型,初高中学习陪伴/普通有娃家庭,北京,11200,通过,2026-05-18,87000,波动,低,1.84,10.6,50%,51%,18,高三,男,高三复习陪跑、家长情绪管理和即时答疑需求,41,35,79,B,推荐,是,待建联达人,初筛通过,走高三冲刺、家长情绪管理和晚间答疑场景，强化男性家长差异化与即时解题需求。,【大模型分析】北京IP、高三陪跑场景强，35+粉丝达标且需求明确；但流量有波动，CPE仅中上。
pytest_sample_pool-KOL-005,国际学校转轨妈妈,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-005,曝光型,高知家庭/中产家庭,上海,18800,通过,2026-05-15,231000,稳定,中,1.88,13.2,46%,53%,13,初一,女,国际学校转轨、英语学习和课后答疑陪伴,47,41,78,B,备选,否,待建联达人,初筛通过,适合做国际学校转轨、英语答疑陪伴、初中学习效率提升场景，承担曝光种草型角色。,【大模型分析】上海高知中产+初一孩子契合，粉丝35+达标，成本表现尚可；但限流风险为中，需先复核近期内容波动与争议。
