达人ID,达人昵称,蒲公英链接,达人类型,人设标签,IP城市,报价,预算状态,预计发布时间,粉丝数,近30天流量稳定性,限流风险判断,合作笔记自然CPC,合作笔记自然CPE,搜索+推荐占比,35岁以上粉丝占比,孩子年龄,孩子年级,孩子性别,家庭/教育话题点,30天外溢进店成本,90天外溢进店成本,推荐等级,当前状态,备注
KOL-001,北京海淀安安妈,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-001,曝光型,高知家庭/亲子大孩,北京,16800,通过,2026-05-08,186000,稳定,低,1.78,12.6,52%,58%,12,小升初,女,海淀小升初规划、学区房家庭学习效率场景,42,36,S,初筛通过,曝光型核心候选，家庭叙事贴合答疑笔使用场景
KOL-002,上海中产陪读日记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-002,曝光型,中产家庭/亲子大孩,上海,15200,通过,2026-05-10,142000,稳定,低,1.92,14.8,48%,55%,14,初二,男,上海中产教育日常、晚自习陪伴和错题整理,45,39,A,初筛通过,内容真实感强，适合做家庭使用体验笔记
KOL-003,胡同里养娃的林老师,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-003,曝光型,教师人设/普通有娃家庭,北京,12600,通过,2026-05-11,98000,稳定,低,1.65,9.8,57%,62%,15,初三,女,教师妈妈视角、胡同家庭备考冲刺和学习工具选择,34,31,S,初筛通过,教师+家长双人设，话题度高
KOL-004,住校生妈妈手记,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-004,曝光型,亲子大孩/普通有娃家庭,上海,9800,通过,2026-05-13,76000,波动,低,2.10,16.5,44%,49%,16,高一,男,住校生学习自主管理、周末复盘和答疑需求,48,43,B,备选,CPC略高但人设场景稀缺，可作为备选
KOL-005,国际学校转轨妈妈,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-005,曝光型,高知家庭/中产家庭,上海,18800,通过,2026-05-15,231000,稳定,中,1.88,13.2,46%,53%,13,初一,女,国际学校转轨、英语学习和课后答疑陪伴,47,41,A,初筛通过,需复核近期争议内容，预算内可推进
KOL-006,初中数学周老师,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-006,教育垂类/卖货型,教师人设/初高中学习陪伴,北京,13600,通过,2026-05-09,164000,稳定,低,1.42,8.6,61%,64%,13,初一,未披露,数学学习方法、错题本和课后答疑工具推荐,29,25,S,初筛通过,教育垂类转化基础好，优先沟通
KOL-007,升学政策研究员Grace,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-007,教育垂类/卖货型,教育政策解读/高知教育达人,北京,17800,通过,2026-05-12,205000,稳定,低,1.70,11.4,55%,67%,12,小升初,未披露,升学政策、学习规划和家长决策链路,38,32,S,初筛通过,35岁以上粉丝占比高，适合承接家长搜索需求
KOL-008,陪娃刷题的陈博士,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-008,教育垂类/卖货型,高知家庭/高知教育达人,上海,16500,通过,2026-05-14,119000,稳定,低,1.56,9.2,59%,60%,17,高二,男,理工科家长陪读、理科答疑和学习效率工具,33,28,S,初筛通过,专业信任感强，适合答疑笔功能深度种草
KOL-009,教辅工具测评小乔,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-009,教育垂类/卖货型,亲子教育卖货型/学习用品,其他,8200,通过,2026-05-16,68000,稳定,低,1.35,7.9,63%,46%,14,初二,女,学习用品横评、教辅工具对比和真实转化复盘,26,22,A,初筛通过,非京沪但数据效率优秀，可补足卖货型结构
KOL-010,高中陪跑老爸,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/KOL-010,教育垂类/卖货型,初高中学习陪伴/普通有娃家庭,北京,11200,通过,2026-05-18,87000,波动,低,1.84,10.6,50%,51%,18,高三,男,高三复习陪跑、家长情绪管理和即时答疑需求,41,35,A,初筛通过,男性家长视角有差异化，注意排期接近尾段
